
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                FEBRERO    2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 17.661          1.642         19.303            0       17.586          1.565         19.151  ALAVA
ALBACETE             214.976          8.696        223.672            0      214.803          8.406        223.209  ALBACETE
ALICANTE                   0          8.234          8.234            0            0          8.135          8.135  ALICANTE
ALMERIA                    0        648.189        648.189            0            0        628.484        628.484  ALMERIA
AVILA                 14.086              0         14.086            0       13.971              0         13.971  AVILA
BADAJOZ                   39          4.636          4.675            0           37          4.300          4.337  BADAJOZ
BALEARES                   0        478.097        478.097            0            0        450.333        450.333  BALEARES
BARCELONA             22.203        825.879        848.082            0       22.060        790.354        812.414  BARCELONA
BURGOS                51.131        416.846        467.977            0       50.502        399.996        450.498  BURGOS
CACERES               14.979      1.299.947      1.314.926        2.516       11.362      1.254.968      1.266.330  CACERES
CADIZ                 15.378      1.365.222      1.380.600            0       14.650      1.329.320      1.343.970  CADIZ
CASTELLON             10.975        659.518        670.493            0       10.894        643.910        654.804  CASTELLON
CIUDAD REAL                0        272.505        272.505            0            0        246.766        246.766  CIUDAD REAL
CORDOBA                2.305        191.769        194.074            0        2.212        175.188        177.400  CORDOBA
LA CORUÑA            234.633      1.445.811      1.680.444            0      231.410      1.373.711      1.605.121  LA CORUÑA
CUENCA                76.549         22.658         99.207            0       76.264         21.253         97.517  CUENCA
GIRONA                13.378         36.355         49.733            0       13.173         35.102         48.275  GIRONA
GRANADA                  605         37.691         38.296            0          581         36.034         36.615  GRANADA
GUADALAJARA           35.191        790.191        825.382       36.491       -1.763        740.222        738.459  GUADALAJARA
GUIPUZCOA              2.937        179.837        182.774            0        2.896        171.344        174.240  GUIPUZCOA
HUELVA                     0        732.622        732.622            0            0        712.315        712.315  HUELVA
HUESCA               121.764         23.763        145.527       49.814       68.650         22.834         91.484  HUESCA
JAEN                   3.263         34.764         38.027            0        3.244         33.652         36.896  JAEN
LEON                  27.938      1.246.992      1.274.930            0       27.182      1.161.550      1.188.732  LEON
LLEIDA               144.092         43.178        187.270       63.085       77.136         41.914        119.050  LLEIDA
LA RIOJA              54.257        293.446        347.703            0       54.240        286.034        340.274  LA RIOJA
LUGO                 258.772          7.555        266.327            0      254.228          7.454        261.682  LUGO
MADRID                   625         99.364         99.989            0          572         92.696         93.268  MADRID
MALAGA                47.118         22.163         69.281       47.857       -1.493         21.478         19.985  MALAGA
MURCIA                 6.924        776.110        783.034            0        6.893        759.543        766.436  MURCIA
NAVARRA              199.039        205.457        404.496            0      197.025        200.642        397.667  NAVARRA
ORENSE               189.653         13.175        202.828       27.612      158.635         12.602        171.237  ORENSE
ASTURIAS             146.260      1.571.372      1.717.632            0      142.696      1.479.536      1.622.232  ASTURIAS
PALENCIA              31.211        307.914        339.125            0       31.209        289.065        320.274  PALENCIA
LAS PALMAS            13.626        375.009        388.635            0       13.626        351.788        365.414  LAS PALMAS
PONTEVEDRA            25.877         22.636         48.513            0       25.705         21.809         47.514  PONTEVEDRA
SALAMANCA            150.160              0        150.160       89.420       58.970              0         58.970  SALAMANCA
S.C.TENERIFE           6.626        301.380        308.006            0        6.383        283.052        289.435  S.C.TENERIFE
CANTABRIA             69.219         81.902        151.121       67.683          398         77.163         77.561  CANTABRIA
SEGOVIA                2.146          1.829          3.975            0        2.092          1.741          3.833  SEGOVIA
SEVILLA               17.567         38.877         56.444       22.002       -4.872         37.535         32.663  SEVILLA
SORIA                 30.310         22.404         52.714            0       30.164         21.246         51.410  SORIA
TARRAGONA             62.686      2.600.177      2.662.863            0       61.960      2.499.622      2.561.582  TARRAGONA
TERUEL                 2.052        701.906        703.958            0        2.037        653.501        655.538  TERUEL
TOLEDO                22.681        407.519        430.200            0       22.430        395.662        418.092  TOLEDO
VALENCIA              96.389        804.917        901.306      125.919      -31.214        775.493        744.279  VALENCIA
VALLADOLID             5.686         34.302         39.988            0        5.630         33.315         38.945  VALLADOLID
VIZCAYA                6.955      1.293.616      1.300.571            0        6.875      1.265.262      1.272.137  VIZCAYA
ZAMORA                92.040          5.647         97.687            0       91.089          5.483         96.572  ZAMORA
ZARAGOZA             116.893        148.036        264.929            0      116.091        144.878        260.969  ZARAGOZA
CEUTA                      0         16.769         16.769            0            0         15.907         15.907  CEUTA
MELILLA                    0         14.191         14.191            0            0         13.469         13.469  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         2.678.855     20.942.715     23.621.570      532.399    2.108.219     20.037.632     22.145.851  T O T A L
