
1.2.6 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS ACUMULADOS                               MAYO       2006
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                110.892        101.299        212.191            0      110.497         97.722        208.219  ALAVA
ALBACETE             952.837         40.409        993.246            0      952.143         38.734        990.877  ALBACETE
ALICANTE                   0         38.686         38.686            0            0         38.163         38.163  ALICANTE
ALMERIA                    0      3.074.346      3.074.346            0            0      2.978.423      2.978.423  ALMERIA
AVILA                118.424              0        118.424            0      117.855              0        117.855  AVILA
BADAJOZ               15.501         21.397         36.898            0       14.915         19.991         34.906  BADAJOZ
BALEARES                   0      2.385.544      2.385.544            0            0      2.236.665      2.236.665  BALEARES
BARCELONA            104.565      3.948.698      4.053.263            0      103.768      3.798.943      3.902.711  BARCELONA
BURGOS               308.380      2.192.976      2.501.356            0      304.836      2.103.228      2.408.064  BURGOS
CACERES              396.470      6.329.435      6.725.905       34.696      355.059      6.105.163      6.460.222  CACERES
CADIZ                 81.894      7.548.264      7.630.158            0       79.505      7.349.387      7.428.892  CADIZ
CASTELLON             54.020      2.538.640      2.592.660            0       53.624      2.477.337      2.530.961  CASTELLON
CIUDAD REAL                0      1.423.786      1.423.786            0            0      1.278.411      1.278.411  CIUDAD REAL
CORDOBA               21.371        626.343        647.714            0       20.752        568.460        589.212  CORDOBA
LA CORUÑA          1.237.147      6.682.612      7.919.759            0    1.206.836      6.336.953      7.543.789  LA CORUÑA
CUENCA               410.733        124.437        535.170            0      409.874        117.419        527.293  CUENCA
GIRONA                91.096        191.918        283.014            0       88.618        184.711        273.329  GIRONA
GRANADA               27.771        201.904        229.675            0       27.132        194.265        221.397  GRANADA
GUADALAJARA          229.519      3.579.836      3.809.355      185.316       42.507      3.346.568      3.389.075  GUADALAJARA
GUIPUZCOA             17.485        813.877        831.362            0       17.241        773.458        790.699  GUIPUZCOA
HUELVA                     0      3.554.695      3.554.695            0            0      3.448.856      3.448.856  HUELVA
HUESCA             1.068.634        111.117      1.179.751      175.770      870.638        105.786        976.424  HUESCA
JAEN                  31.438        176.560        207.998            0       30.682        168.586        199.268  JAEN
LEON                 294.758      5.371.831      5.666.589            0      289.527      4.993.302      5.282.829  LEON
LLEIDA             1.104.997        218.977      1.323.974      240.026      839.769        211.818      1.051.587  LLEIDA
LA RIOJA             264.412      1.769.335      2.033.747            0      264.300      1.727.994      1.992.294  LA RIOJA
LUGO               1.447.834         31.545      1.479.379            0    1.421.888         31.129      1.453.017  LUGO
MADRID                24.443        526.660        551.103            0       23.725        487.061        510.786  MADRID
MALAGA               204.315         92.464        296.779      189.495       11.317         89.402        100.719  MALAGA
MURCIA                40.744      4.377.631      4.418.375            0       40.575      4.292.413      4.332.988  MURCIA
NAVARRA              994.136      1.338.649      2.332.785            0      988.932      1.306.511      2.295.443  NAVARRA
ORENSE             1.873.967        281.838      2.155.805      137.063    1.710.085        278.658      1.988.743  ORENSE
ASTURIAS           1.118.676      6.535.437      7.654.113       37.912    1.061.327      6.145.096      7.206.423  ASTURIAS
PALENCIA             187.362      1.048.788      1.236.150            0      187.018        983.489      1.170.507  PALENCIA
LAS PALMAS            89.916      2.007.245      2.097.161            0       89.916      1.892.641      1.982.557  LAS PALMAS
PONTEVEDRA           176.399        116.285        292.684            0      175.232        111.802        287.034  PONTEVEDRA
SALAMANCA          1.272.114          2.238      1.274.352      438.829      821.212          2.149        823.361  SALAMANCA
S.C.TENERIFE          39.526      1.590.394      1.629.920            0       39.170      1.495.677      1.534.847  S.C.TENERIFE
CANTABRIA            373.693        395.087        768.780      316.332       51.188        370.173        421.361  CANTABRIA
SEGOVIA               16.535          7.759         24.294            0       16.316          7.374         23.690  SEGOVIA
SEVILLA               79.249        199.461        278.710       91.541      -14.466        192.883        178.417  SEVILLA
SORIA                178.700        131.079        309.779            0      177.824        123.943        301.767  SORIA
TARRAGONA            380.414     11.895.117     12.275.531            0      376.293     11.414.255     11.790.548  TARRAGONA
TERUEL                13.682      3.166.054      3.179.736            0       13.592      2.948.542      2.962.134  TERUEL
TOLEDO               113.165      1.515.071      1.628.236            0      111.884      1.461.662      1.573.546  TOLEDO
VALENCIA             353.118      4.002.586      4.355.704      331.243       15.817      3.851.626      3.867.443  VALENCIA
VALLADOLID            36.310        192.216        228.526            0       35.969        187.214        223.183  VALLADOLID
VIZCAYA              105.229      4.414.885      4.520.114            0      104.551      4.309.446      4.413.997  VIZCAYA
ZAMORA               887.167         16.672        903.839            0      881.110         16.393        897.503  ZAMORA
ZARAGOZA             681.749        849.769      1.531.518            0      677.124        832.250      1.509.374  ZARAGOZA
CEUTA                      0         85.694         85.694            0            0         81.162         81.162  CEUTA
MELILLA                    0         71.502         71.502            0            0         67.534         67.534  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L        17.630.787     97.959.048    115.589.835    2.178.223   15.217.677     93.680.828    108.898.505  T O T A L
