
1.2.5 PRODUCCION BRUTA Y DISPONIBLE POR PROVINCIAS. DATOS MENSUALES                                NOVIEMBRE  2007
       CENTRALES DE 1.000 kW O MAS


                 PRODUCCION BRUTA EXPRESADA EN MWh                       PRODUCCION DISPONIBLE EXPRESADA EN MWh
                 ---------------------------------------                 --------------------------------------
PROVINCIA        HIDROELECT.  TERMOELECT.    TOTAL          BOMBEO       HIDROELECT.  TERMOELECT.    TOTAL          PROVINCIA
---------------- -----------  -------------  -------------  -----------  -----------  -------------  -------------  ----------------
ALAVA                 21.822         39.219         61.041            0       21.703         37.810         59.513  ALAVA
ALBACETE             116.245         20.540        136.785            0      116.068         19.633        135.701  ALBACETE
ALICANTE                   0          3.717          3.717            0            0          3.632          3.632  ALICANTE
ALMERIA                    0        722.666        722.666            0            0        700.320        700.320  ALMERIA
AVILA                  5.908              0          5.908            0        5.755              0          5.755  AVILA
BADAJOZ                1.618          4.206          5.824            0        1.403          3.978          5.381  BADAJOZ
BALEARES                   0        469.290        469.290            0            0        440.920        440.920  BALEARES
BARCELONA              4.406        684.983        689.389            0        4.343        661.832        666.175  BARCELONA
BURGOS                86.155        435.558        521.713            0       84.227        417.497        501.724  BURGOS
CACERES               97.850        718.360        816.210       15.807       80.452        685.274        765.726  CACERES
CADIZ                 52.579      1.807.295      1.859.874            0       51.936      1.763.107      1.815.043  CADIZ
CASTELLON              6.648        436.732        443.380            0        6.577        426.821        433.398  CASTELLON
CIUDAD REAL            9.937        177.745        187.682            0        9.937        167.036        176.973  CIUDAD REAL
CORDOBA                1.632        243.111        244.743            0        1.515        222.921        224.436  CORDOBA
LA CORUÑA             97.387      1.618.000      1.715.387            0       94.918      1.535.880      1.630.798  LA CORUÑA
CUENCA                61.122         38.491         99.613            0       60.990         36.253         97.243  CUENCA
GIRONA                 9.484         36.924         46.408            0        9.314         35.842         45.156  GIRONA
GRANADA                7.547         51.805         59.352            0        7.429         49.800         57.229  GRANADA
GUADALAJARA           62.791        765.736        828.527            0       61.973        717.838        779.811  GUADALAJARA
GUIPUZCOA              8.449        166.818        175.267            0        8.411        158.792        167.203  GUIPUZCOA
HUELVA                 1.497        799.429        800.926            0        1.497        780.119        781.616  HUELVA
HUESCA               122.757         39.999        162.756       30.400       79.454         37.601        117.055  HUESCA
JAEN                   1.427         43.489         44.916            0        1.311         41.200         42.511  JAEN
LEON                   8.484        931.855        940.339            0        7.915        872.584        880.499  LEON
LLEIDA                90.499         52.713        143.212       42.522       45.298         50.850         96.148  LLEIDA
LA RIOJA              67.673        252.519        320.192            0       64.789        247.072        311.861  LA RIOJA
LUGO                 224.000          6.226        230.226            0      220.641          6.134        226.775  LUGO
MADRID                 8.593        103.461        112.054            0        8.498         95.114        103.612  MADRID
MALAGA                33.832         26.148         59.980       34.767       -1.425         25.340         23.915  MALAGA
MURCIA                 5.868      1.382.998      1.388.866            0        5.831      1.338.794      1.344.625  MURCIA
NAVARRA              301.832        406.118        707.950            0      298.350        395.839        694.189  NAVARRA
ORENSE               240.489          1.254        241.743       18.785      218.548          1.037        219.585  ORENSE
ASTURIAS             109.621      1.351.463      1.461.084            0      106.705      1.259.449      1.366.154  ASTURIAS
PALENCIA              32.618        269.839        302.457            0       32.595        250.119        282.714  PALENCIA
LAS PALMAS            12.216        445.665        457.881            0       12.216        420.314        432.530  LAS PALMAS
PONTEVEDRA            18.626         18.866         37.492            0       18.604         18.193         36.797  PONTEVEDRA
SALAMANCA            491.705            714        492.419       76.571      411.277            685        411.962  SALAMANCA
S.C.TENERIFE           6.756        351.702        358.458            0        6.753        333.831        340.584  S.C.TENERIFE
CANTABRIA             78.544         46.961        125.505       74.419        2.313         42.662         44.975  CANTABRIA
SEGOVIA                3.517         11.191         14.708            0        3.476         10.170         13.646  SEGOVIA
SEVILLA               18.605         36.588         55.193       19.702       -1.636         35.368         33.732  SEVILLA
SORIA                 47.903         28.501         76.404            0       47.545         27.064         74.609  SORIA
TARRAGONA             49.762      2.616.762      2.666.524            0       49.116      2.529.577      2.578.693  TARRAGONA
TERUEL                   805        992.750        993.555            0          793        952.652        953.445  TERUEL
TOLEDO                22.567        474.908        497.475            0       22.284        460.599        482.883  TOLEDO
VALENCIA              42.147      1.322.495      1.364.642       39.405        1.846      1.279.835      1.281.681  VALENCIA
VALLADOLID             3.770         59.283         63.053            0        3.729         57.206         60.935  VALLADOLID
VIZCAYA                7.545        827.897        835.442            0        7.483        805.199        812.682  VIZCAYA
ZAMORA               143.812          6.140        149.952            0      142.824          6.140        148.964  ZAMORA
ZARAGOZA             111.788        270.102        381.890            0      111.286        265.254        376.540  ZARAGOZA
CEUTA                      0         17.471         17.471            0            0         16.759         16.759  CEUTA
MELILLA                    0         15.511         15.511            0            0         14.691         14.691  MELILLA
                 -----------  -------------  -------------  -----------  -----------  -------------  -------------
T  O T A L         2.960.838     21.652.214     24.613.052      352.378    2.556.867     20.762.637     23.319.504  T O T A L
